run_id,condition,rt,stimulus,button_pressed,window_width,window_height,trial_type,trial_index,time_elapsed,internal_node_id,subject,chinFirst,choiceTask_amountLeftFirst,webcam_label,webcam_Id,webcam_fps,webcam_aspectRatio,webcam_height,webcam_width,responses,key_press,success,x_pos,y_pos,chin,task_nr,eyeData,trial_duration,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
4,1,4339,"<div style=""position: fixed; display: inline-block; top: 20%; right: 20%; text-align: right;""><img src=""fu_logo.PNG"" alt=""[FU Berlin Logo]"" style=""width: 25%;""></div><div><br><br><p><strong>Welcome, dear participant! </strong></p><p>Thank you for your interest in and your support for our research.<br> This study is run by researchers at Freie Universität Berlin. </p></div>",0,1280,700,html-button-response,0,4377,0.0-0.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,41710.00000000001,"""","""","""","""",survey-html-form,1,46096,0.0-1.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"{""prolificID"":""LP98""}","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,3129,"<p>Please, use only <strong>one monitor</strong> for this study.<br>If necessary, switch off the other monitors.</p>",0,"""","""",html-button-response,2,49228,0.0-2.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,7747,"<p><strong>Please turn your mobile phone into Airplane Mode and close all CPU- or data-intensive programs and websites!</strong><br> (e.g. running Youtube Videos or Torrents)</p>",0,"""","""",html-button-response,3,56978,0.0-3.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,4,57408,0.0-4.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,5,57668,0.0-5.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,47241,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. </li></ol></div><img src=""lightInstruct.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,6,104908,0.0-6.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,11876.999999999985,"<div style=""width: 45%; text-align: left; margin: auto;""><ol start='3'><li>Check the video and stay in the highlighted rectangle so that it becomes green. </li><li>Try as much as possible to follow the instructions on these pictures and avoid moving your head. If you move too much, the calibration can fail and you might not be able to finish the study. </li><li><strong>If necessary, adjust your laptop, monitor, webcam, or chair. </strong></li></ol></div><img src=""ETInstructions.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,7,116789,0.0-7.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,"""","""","""",1280,700,fullscreen,8,120100,0.0-8.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""",true,"""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,11589,"<div style=""width: 45%; margin: auto; text-align: justify;""><p>For the next task, please do <strong>not</strong> rest your head on your arm but keep your head in a natural position. Get sure that you stay in the rectangle in the video stream while doing that. </p><p>However, in order to make this measurement as accurate as possible, please keep your head at the same position at all time so that you <strong>only move your eyes</strong> when you look at the screen. </p></div><p style=""text-align: center;"">Press Space to continue </p>","""","""","""",html-keyboard-response,9,131694,0.0-9.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",32,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,6251,"<p><strong>Can you stay in that pose for a while?</strong></p><p>If not, then please adjust now in order to be comfortable.</p><br><p>Press Space to continue</p>","""","""","""",html-keyboard-response,10,137946,0.0-10.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",32,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,16615,"<div style=""position: fixed; top: 30%; left: 27.5%; width: 45%; margin: auto; text-align: justify;""><p>For calibration purposes, there will be buttons (39 in total) appearing one after another. <strong>Click 14x on each button</strong> until it turns green. Then the next button will appear. This will take around <strong>3 minutes. </strong></p><p>For an accurate measurement, please <strong><u>always</u></strong> follow the mouse cursor with your eyes. </p><br><p style=""text-align: center;"">Press Space to continue</p></div>","""","""","""",html-keyboard-response,11,154564,0.0-11.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",32,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,12,154667,0.0-12.0-0.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,13,154772,0.0-12.0-1.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,14,156274,0.0-12.0-2.0-0.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,"""","""","""",1280,800,eyetracking-calibration,15,164602,0.0-12.0-2.0-1.0,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""","""","""",0.35,0.65,0,0,"{""history"":[]}","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
4,1,null,"""","""","""","""",html-keyboard-response,16,166114,0.0-12.0-2.0-0.1,753,0,0,"Integrierte iSight-Kamera",0x2460000005ac8507,30.00003000003,1,480,640,"""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:59:53",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",Macintosh,Safari,11.1.2,"OS X",10_13_6
